,code,name,prompt
203,6B60.80,"Dissociative neurological symptom disorder, with chorea","Disorder Name: Dissociative neurological symptom disorder, with chorea
Disorder Code: 6B60.80
Disorder symptoms: Dissociative neurological symptom disorder, with chorea is characterised by irregular, non-repetitive, brief, jerky, flowing movements that move randomly from one part of the body to another that are not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and do not occur exclusively during another dissociative disorder.
"
204,6B60.81,"Dissociative neurological symptom disorder, with myoclonus","Disorder Name: Dissociative neurological symptom disorder, with myoclonus
Disorder Code: 6B60.81
Disorder symptoms: Dissociative neurological symptom disorder, with myoclonus is characterised by sudden rapid jerks that may be focal, multifocal or generalised that are not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and do not occur exclusively during another dissociative disorder.
"
205,6B60.82,"Dissociative neurological symptom disorder, with tremor","Disorder Name: Dissociative neurological symptom disorder, with tremor
Disorder Code: 6B60.82
Disorder symptoms: Dissociative neurological symptom disorder, with tremor is characterised by involuntary oscillation of a body part that is not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and does not occur exclusively during another dissociative disorder.
"
206,6B60.83,"Dissociative neurological symptom disorder, with dystonia","Disorder Name: Dissociative neurological symptom disorder, with dystonia
Disorder Code: 6B60.83
Disorder symptoms: Dissociative neurological symptom disorder, with dystonia is characterised by sustained muscle contractions that frequently cause twisting and repetitive movements or abnormal postures that are not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and do not occur exclusively during another dissociative disorder.
"
207,6B60.84,"Dissociative neurological symptom disorder, with facial spasm","Disorder Name: Dissociative neurological symptom disorder, with facial spasm
Disorder Code: 6B60.84
Disorder symptoms: Dissociative neurological symptom disorder, with facial spasm is characterised by involuntary muscle contractions or twitching of the face that is not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and does not occur exclusively during another dissociative disorder.
"
208,6B60.85,"Dissociative neurological symptom disorder, with Parkinsonism","Disorder Name: Dissociative neurological symptom disorder, with Parkinsonism
Disorder Code: 6B60.85
Disorder symptoms: Dissociative neurological symptom disorder, with Parkinsonism is characterised by a symptomatic presentation of a Parkinson-like syndrome in the absence of confirmed Parkinson disease that does not occur exclusively during another mental, behavioural or neurodevelopmental disorder, other medical condition, or another dissociative disorder. Dissociative neurological symptom disorder, with Parkinsonism can be distinguished from Parkinson disease by features such as abrupt onset, early disability, bilateral shaking and slowness, nondecremental slowness when performing repetitive movements, voluntary resistance against passive movement without cogwheel rigidity, distractability, ‘give-way’ weakness, stuttering speech, bizarre gait, and a variety of behavioural symptoms.
"
209,6B60.8Y,"Dissociative neurological symptom disorder, with other specified movement disturbance",
210,6B60.8Z,"Dissociative neurological symptom disorder, with unspecified movement disturbance",
211,6B60.9,"Dissociative neurological symptom disorder, with cognitive symptoms","Disorder Name: Dissociative neurological symptom disorder, with cognitive symptoms
Disorder Code: 6B60.9
Disorder symptoms: Dissociative neurological symptom disorder, with cognitive symptoms is characterised by impaired cognitive performance in memory, language or other cognitive domains that is internally inconsistent and not consistent with a recognised disease of the nervous system, a neurodevelopmental or neurocognitive disorder, other mental, behavioural or neurodevelopmental disorder, or another medical condition and does not occur exclusively during another dissociative disorder.
If you diagnose this disease exclude: Dissociative amnesia"
212,6B60.Y,"Dissociative neurological symptom disorder, with other specified symptoms",
213,6B60.Z,"Dissociative neurological symptom disorder, with unspecified symptoms",
214,6B61.0,Dissociative amnesia with dissociative fugue,"Disorder Name: Dissociative amnesia with dissociative fugue
Disorder Code: 6B61.0
Disorder symptoms: Dissociative amnesia with dissociative fugue is characterised by all of the features of Dissociative Amnesia, accompanied by dissociative fugue, i.e., a loss of a sense of personal identity and sudden travel away from home, work, or significant others for an extended period of time (days or weeks). A new identity may be assumed.
If you diagnose this disease exclude: postictal fugue in epilepsy"
215,6B61.1,Dissociative amnesia without dissociative fugue,"Disorder Name: Dissociative amnesia without dissociative fugue
Disorder Code: 6B61.1
Disorder symptoms: Dissociative amnesia without dissociative fugue is characterised by all of the features of dissociative amnesia occurring in the absence of symptoms of dissociative fugue.
"
216,6B61.Z,"Dissociative amnesia, unspecified",
217,6B62,Trance disorder,"Disorder Name: Trance disorder
Disorder Code: 6B62
Disorder symptoms: Trance disorder is characterised by trance states in which there is a marked alteration in the individual’s state of consciousness or a loss of the individual’s customary sense of personal identity in which the individual experiences a narrowing of awareness of immediate surroundings or unusually narrow and selective focusing on environmental stimuli and restriction of movements, postures, and speech to repetition of a small repertoire that is experienced as being outside of one’s control. The trance state is not characterised by the experience of being replaced by an alternate identity. Trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days. The trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice. The symptoms do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The symptoms are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, exhaustion, or to hypnagogic or hypnopompic states, and are not due to a disease of the nervous system, head trauma, or a sleep-wake disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
"
218,6B63,Possession trance disorder,"Disorder Name: Possession trance disorder
Disorder Code: 6B63
Disorder symptoms: Possession trance disorder is characterised by trance states in which there is a marked alteration in the individual’s state of consciousness and the individual’s customary sense of personal identity is replaced by an external ‘possessing’ identity and in which the individual’s behaviours or movements are experienced as being controlled by the possessing agent. Possession trance episodes are recurrent or, if the diagnosis is based on a single episode, the episode has lasted for at least several days. The possession trance state is involuntary and unwanted and is not accepted as a part of a collective cultural or religious practice. The symptoms do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The symptoms are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, exhaustion, or to hypnagogic or hypnopompic states, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
If you diagnose this disease exclude: Schizophrenia; Disorders due to use of other specified psychoactive substances, including medications; Acute and transient psychotic disorder; Secondary personality change"
219,6B64,Dissociative identity disorder,"Disorder Name: Dissociative identity disorder
Disorder Code: 6B64
Disorder symptoms: Dissociative identity disorder is characterised by disruption of identity in which there are two or more distinct personality states (dissociative identities) associated with marked discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment. At least two distinct personality states recurrently take executive control of the individual’s consciousness and functioning in interacting with others or with the environment, such as in the performance of specific aspects of daily life such as parenting, or work, or in response to specific situations (e.g., those that are perceived as threatening). Changes in personality state are accompanied by related alterations in sensation, perception, affect, cognition, memory, motor control, and behaviour. There are typically episodes of amnesia, which may be severe. The symptoms are not better explained by another mental, behavioural or neurodevelopmental disorder and are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
"
220,6B65,Partial dissociative identity disorder,"Disorder Name: Partial dissociative identity disorder
Disorder Code: 6B65
Disorder symptoms: Partial dissociative identity disorder is characterised by disruption of identity in which there are two or more distinct personality states (dissociative identities) associated with marked discontinuities in the sense of self and agency. Each personality state includes its own pattern of experiencing, perceiving, conceiving, and relating to self, the body, and the environment. One personality state is dominant and normally functions in daily life, but is intruded upon by one or more non-dominant personality states (dissociative intrusions). These intrusions may be cognitive, affective, perceptual, motor, or behavioural. They are experienced as interfering with the functioning of the dominant personality state and are typically aversive. The non-dominant personality states do not recurrently take executive control of the individual’s consciousness and functioning, but there may be occasional, limited and transient episodes in which a distinct personality state assumes executive control to engage in circumscribed behaviours, such as in response to extreme emotional states or during episodes of self-harm or the reenactment of traumatic memories. The symptoms are not better explained by another mental, behavioural or neurodevelopmental disorder and are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or a sleep-wake disorder. The symptoms result in significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
"
221,6B66,Depersonalization-derealization disorder,"Disorder Name: Depersonalization-derealization disorder
Disorder Code: 6B66
Disorder symptoms: Depersonalization-derealization disorder is characterised by persistent or recurrent experiences of depersonalization, derealization, or both. Depersonalization is characterised by experiencing the self as strange or unreal, or feeling detached from, or as though one were an outside observer of, one’s thoughts, feelings, sensations, body, or actions. Derealization is characterised by experiencing other persons, objects, or the world as strange or unreal (e.g., dreamlike, distant, foggy, lifeless, colourless, or visually distorted) or feeling detached from one’s surroundings. During experiences of depersonalization or derealization, reality testing remains intact. The experiences of depersonalization or derealization do not occur exclusively during another dissociative disorder and are not better explained by another mental, behavioural or neurodevelopmental disorder. The experiences of depersonalization or derealization are not due to the direct effects of a substance or medication on the central nervous system, including withdrawal effects, and are not due to a disease of the nervous system or to head trauma. The symptoms result in significant distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.
"
222,6B6Y,Other specified dissociative disorders,
223,6B6Z,"Dissociative disorders, unspecified",
224,6B80.00,"Anorexia Nervosa with significantly low body weight, restricting pattern","Disorder Name: Anorexia Nervosa with significantly low body weight, restricting pattern
Disorder Code: 6B80.00
Disorder symptoms: Anorexia Nervosa with significantly low body weight, restricting pattern refers to individuals who meet the definitional requirements of Anorexia Nervosa with significantly low body weight and who induce weight loss and maintain low body weight through restricted food intake or fasting alone or in combination with increased energy expenditure (such as through excessive exercise) but who do not engage in binge eating or purging behaviours.
"
225,6B80.01,"Anorexia Nervosa with significantly low body weight, binge-purge pattern","Disorder Name: Anorexia Nervosa with significantly low body weight, binge-purge pattern
Disorder Code: 6B80.01
Disorder symptoms: Anorexia Nervosa with significantly low body weight, binge-purge pattern refers to individuals who meet the definitional requirements of Anorexia Nervosa with significantly low body weight and who present with episodes of binge eating or purging behaviours. These individuals induce weight loss and maintain low body weight through restricted food intake, commonly accompanied by significant purging behaviours aimed at getting rid of ingested food (e.g. self-induced vomiting, laxative abuse or enemas). This pattern also includes individuals who exhibit binge eating episodes but do not purge.
"
226,6B80.0Z,"Anorexia Nervosa with significantly low body weight, unspecified",
227,6B80.10,"Anorexia Nervosa with dangerously low body weight, restricting pattern","Disorder Name: Anorexia Nervosa with dangerously low body weight, restricting pattern
Disorder Code: 6B80.10
Disorder symptoms: Anorexia Nervosa with dangerously low body weight, restricting pattern refers to individuals who meet the definitional requirements of Anorexia Nervosa with dangerously low body weight and who induce weight loss and maintain low body weight through restricted food intake or fasting alone or in combination with increased energy expenditure (such as through excessive exercise) but who do not engage in binge eating or purging behaviours.
"
228,6B80.11,"Anorexia Nervosa with dangerously low body weight, binge-purge pattern","Disorder Name: Anorexia Nervosa with dangerously low body weight, binge-purge pattern
Disorder Code: 6B80.11
Disorder symptoms: Anorexia Nervosa with dangerously low body weight, binge-purge pattern refers to individuals who meet the definitional requirements of Anorexia Nervosa with dangerously low body weight and who present with episodes of binge eating or purging behaviours. These individuals induce weight loss and maintain low body weight through restricted food intake, commonly accompanied by significant purging behaviours aimed at getting rid of ingested food (e.g. self-induced vomiting, laxative abuse or enemas). This pattern also includes individuals who exhibit binge eating episodes but do not purge.
"
229,6B80.1Z,"Anorexia Nervosa with dangerously low body weight, unspecified",
230,6B80.2,Anorexia Nervosa in recovery with normal body weight,"Disorder Name: Anorexia Nervosa in recovery with normal body weight
Disorder Code: 6B80.2
Disorder symptoms: Among individuals who are recovering from Anorexia Nervosa and whose body weight is more than 18.5 kg/m2 for adults or over the fifth percentile for BMI-for-age for children and adolescents, the diagnosis should be retained until a full and lasting recovery is achieved, as indicated by the maintenance of a healthy weight and the cessation of behaviours aimed at reducing body weight independent of the provision of treatment (e.g., for at least 1 year after intensive treatment is withdrawn).
"
231,6B80.Y,Other specified anorexia Nervosa,
232,6B80.Z,"Anorexia Nervosa, unspecified",
233,6B81,Bulimia Nervosa,"Disorder Name: Bulimia Nervosa
Disorder Code: 6B81
Disorder symptoms: Bulimia Nervosa is characterised by frequent, recurrent episodes of binge eating (e.g. once a week or more over a period of at least one month). A binge eating episode is a distinct period of time during which the individual experiences a subjective loss of control over eating, eating notably more or differently than usual, and feels unable to stop eating or limit the type or amount of food eaten. Binge eating is accompanied by repeated inappropriate compensatory behaviours aimed at preventing weight gain (e.g. self-induced vomiting, misuse of laxatives or enemas, strenuous exercise). The individual is preoccupied with body shape or weight, which strongly influences self-evaluation. There is marked distress about the pattern of binge eating and inappropriate compensatory behaviour or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. The individual does not meet the diagnostic requirements of Anorexia Nervosa.
If you diagnose this disease exclude: Binge eating disorder"
234,6B82,Binge eating disorder,"Disorder Name: Binge eating disorder
Disorder Code: 6B82
Disorder symptoms: Binge eating disorder is characterised by frequent, recurrent episodes of binge eating (e.g. once a week or more over a period of several months). A binge eating episode is a distinct period of time during which the individual experiences a subjective loss of control over eating, eating notably more or differently than usual, and feels unable to stop eating or limit the type or amount of food eaten. Binge eating is experienced as very distressing, and is often accompanied by negative emotions such as guilt or disgust. However, unlike in Bulimia Nervosa, binge eating episodes are not regularly followed by inappropriate compensatory behaviours aimed at preventing weight gain (e.g. self-induced vomiting, misuse of laxatives or enemas, strenuous exercise). There is marked distress about the pattern of binge eating or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.
If you diagnose this disease exclude: Bulimia Nervosa"
235,6B83,Avoidant-restrictive food intake disorder,"Disorder Name: Avoidant-restrictive food intake disorder
Disorder Code: 6B83
Disorder symptoms: Avoidant-restrictive food intake disorder (ARFID) is characterised by avoidance or restriction of food intake that results in: 1) the intake of an insufficient quantity or variety of food to meet adequate energy or nutritional requirements that has resulted in significant weight loss, clinically significant nutritional deficiencies, dependence on oral nutritional supplements or tube feeding, or has otherwise negatively affected the physical health of the individual~ or 2) significant impairment in personal, family, social, educational, occupational or other important areas of functioning (e.g., due to avoidance or distress related to participating in social experiences involving eating). The pattern of eating behaviour is not motivated by preoccupation with body weight or shape. Restricted food intake and its effects on weight, other aspects of health, or functioning are not due to unavailability of food, not a manifestation of another medical condition (e.g. food allergies, hyperthyroidism) or mental disorder, and are not due to the effect of a substance or medication on the central nervous system including withdrawal effects.
If you diagnose this disease exclude: Anorexia Nervosa; Feeding problem of infant; Feeding problems of newborn"
236,6B84,Pica,"Disorder Name: Pica
Disorder Code: 6B84
Disorder symptoms: Pica is characterised by the regular consumption of non-nutritive substances, such as non-food objects and materials (e.g., clay, soil, chalk, plaster, plastic, metal and paper) or raw food ingredients (e.g., large quantities of salt or corn flour) that is persistent or severe enough to require clinical attention in an individual who has reached a developmental age at which they would be expected to distinguish between edible and non-edible substances (approximately 2 years). That is, the behaviour causes damage to health, impairment in functioning, or significant risk due to the frequency, amount or nature of the substances or objects ingested.
"
237,6B85,Rumination-regurgitation disorder,"Disorder Name: Rumination-regurgitation disorder
Disorder Code: 6B85
Disorder symptoms: Rumination-regurgitation disorder is characterised by the intentional and repeated bringing up of previously swallowed food back to the mouth (i.e., regurgitation), which may be re-chewed and re-swallowed (i.e. rumination), or may be deliberately spat out (but not as in vomiting). The regurgitation behaviour is frequent (at least several times per week) and sustained over a period of at least several weeks. The regurgitation behaviour is not fully accounted for by another medical condition that directly causes regurgitation (e.g., oesophageal strictures or neuromuscular disorders affecting oesophageal functioning) or causes nausea or vomiting (e.g. pyloric stenosis). Rumination-regurgitation disorder should only be diagnosed in individuals who have reached a developmental age of at least 2 years.
If you diagnose this disease exclude: Adult rumination syndrome; Nausea or vomiting"
238,6B8Y,Other specified feeding or eating disorders,
239,6B8Z,"Feeding or eating disorders, unspecified",
240,6C00.0,Nocturnal enuresis,"Disorder Name: Nocturnal enuresis
Disorder Code: 6C00.0
Disorder symptoms: Nocturnal enuresis refers to repeated voiding of urine into clothes or bed that occurs only during sleep (i.e., during the night) in an individual who has reached a developmental age when urinary continence is ordinarily expected (5 years). The urinary incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bladder control. In most cases, the behaviour is involuntary but in some cases it appears intentional.
"
241,6C00.1,Diurnal enuresis,"Disorder Name: Diurnal enuresis
Disorder Code: 6C00.1
Disorder symptoms: Diurnal enuresis refers to repeated voiding of urine into clothes that occurs only during waking hours in an individual who has reached a developmental age when urinary continence is ordinarily expected (5 years). The urinary incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bladder control. In most cases, the behaviour is involuntary but in some cases it appears intentional.
"
242,6C00.2,Nocturnal and diurnal enuresis,"Disorder Name: Nocturnal and diurnal enuresis
Disorder Code: 6C00.2
Disorder symptoms: Nocturnal and diurnal enuresis refers to repeated voiding of urine into clothes or bed that occurs both during sleep (i.e., during the night) and during waking hours in an individual who has reached a developmental age when urinary continence is ordinarily expected (5 years). The urinary incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bladder control. In most cases, the behaviour is involuntary but in some cases it appears intentional.
"
243,6C00.Z,"Enuresis, unspecified",
244,6C01.0,Encopresis with constipation or overflow incontinence,"Disorder Name: Encopresis with constipation or overflow incontinence
Disorder Code: 6C01.0
Disorder symptoms: Encopresis is the repeated passage of faeces in inappropriate places occurring repeatedly (e.g., at least once per month over a period of several months) in an individual who has reached the developmental age when faecal continence is ordinarily expected (4 years). The faecal incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bowel control. Encopresis with constipation and overflow incontinence is the most common form of faecal soiling, and involves retention and impaction of faeces. Stools are typically — but not always — poorly formed (loose or liquid) and leakage may range from occasional to continuous. There is often a history of toilet avoidance leading to constipation.
"
245,6C01.1,Encopresis without constipation or overflow incontinence,"Disorder Name: Encopresis without constipation or overflow incontinence
Disorder Code: 6C01.1
Disorder symptoms: Encopresis is the repeated passage of faeces in inappropriate places occurring repeatedly (e.g., at least once per month over a period of several months) in an individual who has reached the developmental age when faecal continence is ordinarily expected (4 years). The faecal incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bowel control. Encopresis without constipation and overflow is not associated with retention and impaction of faeces, but rather reflects reluctance, resistance or failure to conform to social norms in defecating in acceptable places in the context of normal physiological control over defecation. Stools are typically of normal consistency and inappropriate defecation is likely to be intermittent.
"
246,6C01.Z,"Encopresis, unspecified",
247,6C0Z,"Elimination disorders, unspecified",
248,6C20.0,Mild bodily distress disorder,"Disorder Name: Mild bodily distress disorder
Disorder Code: 6C20.0
Disorder symptoms: All definitional requirements of bodily distress disorder are present. There is excessive attention to distressing symptoms and their consequences, which may result in frequent medical visits, but the person is not preoccupied with the symptoms (e.g., the individual spends less than an hour per day focusing on them). Although the individual expresses distress about the symptoms and they may have some impact on his or her life (e.g., strain in relationships, less effective academic or occupational functioning, abandonment of specific leisure activities), there is no substantial impairment in the person’s personal, family, social, educational, occupational, or other important areas of functioning.
"
249,6C20.1,Moderate bodily distress disorder,"Disorder Name: Moderate bodily distress disorder
Disorder Code: 6C20.1
Disorder symptoms: All definitional requirements of bodily distress disorder are present. There is persistent preoccupation with the distressing symptoms and their consequences (e.g., the individual spends more than an hour a day thinking about them), typically associated with frequent medical visits. The person devotes much of his or her energy to focusing on the symptoms and their consequences. The symptoms and associated distress and preoccupation cause moderate impairment in personal, family, social, educational, occupational, or other important areas of functioning (e.g., relationship conflict, performance problems at work, abandonment of a range of social and leisure activities).
"
250,6C20.2,Severe bodily distress disorder,"Disorder Name: Severe bodily distress disorder
Disorder Code: 6C20.2
Disorder symptoms: All definitional requirements of Bodily distress disorder are present. There is pervasive and persistent preoccupation with the symptoms and their consequences to the extent that these may become the focal point of the person’s life, typically resulting in extensive interactions with the health care system. The symptoms and associated distress and preoccupation cause serious impairment in personal, family, social, educational, occupational, or other important areas of functioning (e.g., unable to work, alienation of friends and family, abandonment of nearly all social and leisure activities). The person’s interests may become so narrow as to focus almost exclusively on his or her bodily symptoms and their negative consequences.
"
251,6C20.Z,"Bodily distress disorder, unspecified",
252,6C21,Body integrity dysphoria,"Disorder Name: Body integrity dysphoria
Disorder Code: 6C21
Disorder symptoms: Body integrity dysphoria is characterised by an intense and persistent desire to become physically disabled in a significant way (e.g. major limb amputee, paraplegic, blind), with onset by early adolescence accompanied by persistent discomfort, or intense feelings of inappropriateness concerning current non-disabled body configuration. The desire to become physically disabled results in harmful consequences, as manifested by either the preoccupation with the desire (including time spent pretending to be disabled) significantly interfering with productivity, with leisure activities, or with social functioning (e.g. person is unwilling to have a close relationship because it would make it difficult to pretend) or by attempts to actually become disabled having resulted in the person putting his or her health or life in significant jeopardy. The disturbance is not better accounted for by another mental, behavioural or neurodevelopmental disorder, by a Disease of the Nervous System or by another medical condition, or by Malingering.
If you diagnose this disease exclude: Gender incongruence of adolescence or adulthood"
253,6C2Y,Other specified disorders of bodily distress or bodily experience,
254,6C2Z,"Disorders of bodily distress or bodily experience, unspecified",
255,6C40.0,Episode of harmful use of alcohol,"Disorder Name: Episode of harmful use of alcohol
Disorder Code: 6C40.0
Disorder symptoms: An episode of use of alcohol that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication~ (2) direct or secondary toxic effects on body organs and systems~ or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour due to alcohol intoxication on the part of the person to whom the diagnosis of single episode of harmful use applies. This diagnosis should not be made if the harm is attributed to a known pattern of alcohol use.
If you diagnose this disease exclude: Harmful pattern of use of alcohol; Alcohol dependence"
256,6C40.10,"Harmful pattern of use of alcohol, episodic","Disorder Name: Harmful pattern of use of alcohol, episodic
Disorder Code: 6C40.10
Disorder symptoms: A pattern of episodic or intermittent alcohol use that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of episodic alcohol use is evident over a period of at least 12 months. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication~ (2) direct or secondary toxic effects on body organs and systems~ or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to alcohol intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of alcohol applies.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Alcohol dependence"
257,6C40.11,"Harmful pattern of use of alcohol, continuous","Disorder Name: Harmful pattern of use of alcohol, continuous
Disorder Code: 6C40.11
Disorder symptoms: A pattern of continuous (daily or almost daily) alcohol use that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of continuous alcohol use is evident over a period of at least one month. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication~ (2) direct or secondary toxic effects on body organs and systems~ or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to alcohol intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of alcohol applies.
If you have Chronic alcohol abuse other inclusions could be: Chronic alcohol abuse
If you diagnose this disease exclude: Episode of harmful use of alcohol; Alcohol dependence"
258,6C40.1Z,"Harmful pattern of use of alcohol, unspecified",
259,6C40.20,"Alcohol dependence, current use, continuous","Disorder Name: Alcohol dependence, current use, continuous
Disorder Code: 6C40.20
Disorder symptoms: Alcohol dependence with continuous consumption of alcohol (daily or almost daily) over a period of at least 1 month.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Harmful pattern of use of alcohol"
260,6C40.21,"Alcohol dependence, current use, episodic","Disorder Name: Alcohol dependence, current use, episodic
Disorder Code: 6C40.21
Disorder symptoms: During the past 12 months, there has been alcohol dependence with intermittent heavy drinking, with periods of abstinence from alcohol. If current use is continuous (daily or almost daily over at least the past 1 month), the diagnosis of Alcohol dependence, current use, continuous should be made instead.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Harmful pattern of use of alcohol"
261,6C40.22,"Alcohol dependence, early full remission","Disorder Name: Alcohol dependence, early full remission
Disorder Code: 6C40.22
Disorder symptoms: After a diagnosis of alcohol dependence, and often following a treatment episode or other intervention (including self-help intervention), the individual has been abstinent from alcohol during a period lasting between 1 and 12 months.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Harmful pattern of use of alcohol"
262,6C40.23,"Alcohol dependence, sustained partial remission","Disorder Name: Alcohol dependence, sustained partial remission
Disorder Code: 6C40.23
Disorder symptoms: After a diagnosis of alcohol dependence, and often following a treatment episode or other intervention (including self-help intervention), there is a significant reduction in alcohol consumption for more than 12 months, such that even though intermittent or continuing drinking has occurred during this period, the definitional requirements for dependence have not been met.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Harmful pattern of use of alcohol"
263,6C40.24,"Alcohol dependence, sustained full remission","Disorder Name: Alcohol dependence, sustained full remission
Disorder Code: 6C40.24
Disorder symptoms: After a diagnosis of alcohol dependence, and often following a treatment episode or other intervention (including self-intervention), the person has been abstinent from alcohol for 12 months or longer.
If you diagnose this disease exclude: Episode of harmful use of alcohol; Harmful pattern of use of alcohol"
264,6C40.2Z,"Alcohol dependence, unspecified",
265,6C40.3,Alcohol intoxication,"Disorder Name: Alcohol intoxication
Disorder Code: 6C40.3
Disorder symptoms: Alcohol intoxication is a clinically significant transient condition that develops during or shortly after the consumption of alcohol that is characterised by disturbances in consciousness, cognition, perception, affect, behaviour, or coordination. These disturbances are caused by the known pharmacological effects of alcohol and their intensity is closely related to the amount of alcohol consumed. They are time-limited and abate as alcohol is cleared from the body. Presenting features may include impaired attention, inappropriate or aggressive behaviour, lability of mood and emotions, impaired judgment, poor coordination, unsteady gait, fine nystagmus and slurred speech. At more severe levels of intoxication, stupor or coma may occur. Alcohol intoxication may facilitate suicidal ideation or behaviour.
If you diagnose this disease exclude: alcohol poisoning; Possession trance disorder"
266,6C40.40,"Alcohol withdrawal, uncomplicated","Disorder Name: Alcohol withdrawal, uncomplicated
Disorder Code: 6C40.40
Disorder symptoms: All diagnostic requirements for Alcohol Withdrawal are met and the withdrawal state is not accompanied by perceptual disturbances or seizures.
"
267,6C40.41,Alcohol withdrawal with perceptual disturbances,"Disorder Name: Alcohol withdrawal with perceptual disturbances
Disorder Code: 6C40.41
Disorder symptoms: All diagnostic requirements for Alcohol withdrawal are met and the withdrawal state is accompanied by perceptual disturbances (e.g., visual or tactile hallucinations or illusions) with intact reality testing. There is no evidence of confusion and other diagnostic requirements for Delirium are not met. The withdrawal state is not accompanied by seizures.
"
268,6C40.42,Alcohol withdrawal with seizures,"Disorder Name: Alcohol withdrawal with seizures
Disorder Code: 6C40.42
Disorder symptoms: All diagnostic requirements for Alcohol withdrawal are met and the withdrawal state is accompanied by seizures (i.e., generalised tonic-clonic seizures) but not by perceptual disturbances.
"
269,6C40.43,Alcohol withdrawal with perceptual disturbances and seizures,"Disorder Name: Alcohol withdrawal with perceptual disturbances and seizures
Disorder Code: 6C40.43
Disorder symptoms: All diagnostic requirements for Alcohol withdrawal are met and the withdrawal state is accompanied by both seizures (i.e., generalised tonic-clonic seizures) and perceptual disturbances (e.g., visual or tactile hallucinations or illusions) with intact reality testing. Diagnostic requirements for Delirium are not met.
"
270,6C40.4Z,"Alcohol withdrawal, unspecified",
